Generating Solution for Advent of Code 2020 - Day 5 / Part 1
Reading input file data/day5-input.txt to solve Day 5 Part 1
Boarding Card FBFBFFFLLL: row 40, col 0, Seat ID 320
Boarding Card BBFBFBFLRL: row 106, col 2, Seat ID 850
Boarding Card BFBBBFBLLR: row 93, col 1, Seat ID 745
Boarding Card FBBFFBBRRR: row 51, col 7, Seat ID 415
Boarding Card BFFFFBBLRR: row 67, col 3, Seat ID 539
Boarding Card FBBFBBBLLR: row 55, col 1, Seat ID 441
Boarding Card BFBFBFBRLL: row 85, col 4, Seat ID 684
Boarding Card BFBFBFBRRR: row 85, col 7, Seat ID 687
Boarding Card BFFFFBFRRL: row 66, col 6, Seat ID 534
Boarding Card FBFBBFFLLR: row 44, col 1, Seat ID 353
Boarding Card FBBFBBFRRL: row 54, col 6, Seat ID 438
Boarding Card BBFBFBBLLL: row 107, col 0, Seat ID 856
Boarding Card BFFBFFBRRR: row 73, col 7, Seat ID 591
Boarding Card FBBFBFBLRR: row 53, col 3, Seat ID 427
Boarding Card BFFBBFBLLR: row 77, col 1, Seat ID 617
Boarding Card BFBFBBBRLL: row 87, col 4, Seat ID 700
Boarding Card FBFFBBBLRR: row 39, col 3, Seat ID 315
Boarding Card BBFFBFBLRR: row 101, col 3, Seat ID 811
Boarding Card BBFFFFFRLR: row 96, col 5, Seat ID 773
Boarding Card BBBFFBBLLR: row 115, col 1, Seat ID 921
Boarding Card BBFBBFFRRR: row 108, col 7, Seat ID 871
Boarding Card BBFFFBBLLR: row 99, col 1, Seat ID 793
Boarding Card BFFBFFBRLR: row 73, col 5, Seat ID 589
Boarding Card FBFFBFFLLL: row 36, col 0, Seat ID 288
Boarding Card BFBBFFFRLL: row 88, col 4, Seat ID 708
Boarding Card FFFBFBBRLL: row 11, col 4, Seat ID 92
Boarding Card FBFBFBBLRL: row 43, col 2, Seat ID 346
Boarding Card FFFBBBFRRL: row 14, col 6, Seat ID 118
Boarding Card BFBFBBFRLR: row 86, col 5, Seat ID 693
Boarding Card BBFFFFFRRL: row 96, col 6, Seat ID 774
Boarding Card FBBFBFFLLR: row 52, col 1, Seat ID 417
Boarding Card BFFFBBFLRR: row 70, col 3, Seat ID 563
Boarding Card BBFBBFBRRR: row 109, col 7, Seat ID 879
Boarding Card BBFFBBBLRR: row 103, col 3, Seat ID 827
Boarding Card FBFBBFFRRR: row 44, col 7, Seat ID 359
Boarding Card BFFFBFFRLR: row 68, col 5, Seat ID 549
Boarding Card FFBBFBFLLR: row 26, col 1, Seat ID 209
Boarding Card FBFBFFBLRR: row 41, col 3, Seat ID 331
Boarding Card FBFFBFBLRL: row 37, col 2, Seat ID 298
Boarding Card FFBFBFBRLR: row 21, col 5, Seat ID 173
Boarding Card FBBFBBBRRL: row 55, col 6, Seat ID 446
Boarding Card FFBBFFFRLR: row 24, col 5, Seat ID 197
Boarding Card FFFBFBBRRR: row 11, col 7, Seat ID 95
Boarding Card FBBFBFFRLL: row 52, col 4, Seat ID 420
Boarding Card FFBFBFFRLL: row 20, col 4, Seat ID 164
Boarding Card FFBFBBBLRR: row 23, col 3, Seat ID 187
Boarding Card FFBBBFFLLR: row 28, col 1, Seat ID 225
Boarding Card BFBFFFFLRR: row 80, col 3, Seat ID 643
Boarding Card FFBBBFBLRL: row 29, col 2, Seat ID 234
Boarding Card BBFFFBBRRL: row 99, col 6, Seat ID 798
Boarding Card FFBFFBFRRL: row 18, col 6, Seat ID 150
Boarding Card FFBBBFBRLR: row 29, col 5, Seat ID 237
Boarding Card BFBFFBFLLL: row 82, col 0, Seat ID 656
Boarding Card BBFBBBFRLR: row 110, col 5, Seat ID 885
Boarding Card BFBFFBFRLR: row 82, col 5, Seat ID 661
Boarding Card FFBBBBBLRL: row 31, col 2, Seat ID 250
Boarding Card FFFBBFFLLL: row 12, col 0, Seat ID 96
Boarding Card BBFFBFFRRL: row 100, col 6, Seat ID 806
Boarding Card BFBBFBBLRL: row 91, col 2, Seat ID 730
Boarding Card BFFBFFFLRR: row 72, col 3, Seat ID 579
Boarding Card BBBFFFFLRL: row 112, col 2, Seat ID 898
Boarding Card BFBFFBBRLL: row 83, col 4, Seat ID 668
Boarding Card FBBBFFBLLL: row 57, col 0, Seat ID 456
Boarding Card FBBFFBBLLL: row 51, col 0, Seat ID 408
Boarding Card BBFFFFFLLR: row 96, col 1, Seat ID 769
Boarding Card FFBBFFBLRR: row 25, col 3, Seat ID 203
Boarding Card BFBBFBFLRR: row 90, col 3, Seat ID 723
Boarding Card BBFFFFFLRR: row 96, col 3, Seat ID 771
Boarding Card BFFBFBFLLR: row 74, col 1, Seat ID 593
Boarding Card FBFBBBBLLL: row 47, col 0, Seat ID 376
Boarding Card FBBBFFBRLR: row 57, col 5, Seat ID 461
Boarding Card FBBBFBBLLR: row 59, col 1, Seat ID 473
Boarding Card BFBFBBBLRL: row 87, col 2, Seat ID 698
Boarding Card BFFFBFBRLR: row 69, col 5, Seat ID 557
Boarding Card FBBFFBFRRR: row 50, col 7, Seat ID 407
Boarding Card BFFFBBFLLL: row 70, col 0, Seat ID 560
Boarding Card FFBFFFBRLR: row 17, col 5, Seat ID 141
Boarding Card FFBFFFBRRR: row 17, col 7, Seat ID 143
Boarding Card FFFBFFBRLR: row 9, col 5, Seat ID 77
Boarding Card BBFBFFFRLL: row 104, col 4, Seat ID 836
Boarding Card BFBFFBFRRL: row 82, col 6, Seat ID 662
Boarding Card BFBFBBFRRL: row 86, col 6, Seat ID 694
Boarding Card FBBBBBFLRR: row 62, col 3, Seat ID 499
Boarding Card BFFBBBBLRR: row 79, col 3, Seat ID 635
Boarding Card FFBFFBFLRL: row 18, col 2, Seat ID 146
Boarding Card BFBFBBFLRL: row 86, col 2, Seat ID 690
Boarding Card BFFFFFFLLR: row 64, col 1, Seat ID 513
Boarding Card FBFFBBBRRR: row 39, col 7, Seat ID 319
Boarding Card BFBFFBBRLR: row 83, col 5, Seat ID 669
Boarding Card FBBFBFFRLR: row 52, col 5, Seat ID 421
Boarding Card BFFBBBFLLR: row 78, col 1, Seat ID 625
Boarding Card BFBFFFBLLR: row 81, col 1, Seat ID 649
Boarding Card FFBFFFFRRL: row 16, col 6, Seat ID 134
Boarding Card FFFBBBBLRR: row 15, col 3, Seat ID 123
Boarding Card FFFBBFBLLL: row 13, col 0, Seat ID 104
Boarding Card BFFBFBBLLR: row 75, col 1, Seat ID 601
Boarding Card FBFFBFBLRR: row 37, col 3, Seat ID 299
Boarding Card FFFBBBBRLL: row 15, col 4, Seat ID 124
Boarding Card BBBFFFBRLR: row 113, col 5, Seat ID 909
Boarding Card BFBBFFFLLL: row 88, col 0, Seat ID 704
Boarding Card BFBBBFFLLR: row 92, col 1, Seat ID 737
Boarding Card BFBFBFFRRR: row 84, col 7, Seat ID 679
Boarding Card BFFFFBFLLR: row 66, col 1, Seat ID 529
Boarding Card FBBBBFBRLR: row 61, col 5, Seat ID 493
Boarding Card BFFBBBBRRL: row 79, col 6, Seat ID 638
Boarding Card FBFBFBFRLR: row 42, col 5, Seat ID 341
Boarding Card FFBFBBFRRL: row 22, col 6, Seat ID 182
Boarding Card BFFFBBFLLR: row 70, col 1, Seat ID 561
Boarding Card FFBBBFBLLL: row 29, col 0, Seat ID 232
Boarding Card FFBFBBFLRR: row 22, col 3, Seat ID 179
Boarding Card BFFFFBFLLL: row 66, col 0, Seat ID 528
Boarding Card FBBBBBFRLR: row 62, col 5, Seat ID 501
Boarding Card BBFBBBFLLL: row 110, col 0, Seat ID 880
Boarding Card FBFBBFBRRL: row 45, col 6, Seat ID 366
Boarding Card FFBBFBFRLL: row 26, col 4, Seat ID 212
Boarding Card BFBFFFFRRR: row 80, col 7, Seat ID 647
Boarding Card FBFFFFFRLR: row 32, col 5, Seat ID 261
Boarding Card FFBBFFBLRL: row 25, col 2, Seat ID 202
Boarding Card BBFBBBBLRL: row 111, col 2, Seat ID 890
Boarding Card FBBFFBFLRL: row 50, col 2, Seat ID 402
Boarding Card BFFFBFBLRR: row 69, col 3, Seat ID 555
Boarding Card FBFFFBBRRL: row 35, col 6, Seat ID 286
Boarding Card BBFBFFBRLR: row 105, col 5, Seat ID 845
Boarding Card FFBBFBBLRL: row 27, col 2, Seat ID 218
Boarding Card FBBBBFFLRL: row 60, col 2, Seat ID 482
Boarding Card BFFFFBBRLR: row 67, col 5, Seat ID 541
Boarding Card FBFFBBFLRR: row 38, col 3, Seat ID 307
Boarding Card FFBFBFFRRR: row 20, col 7, Seat ID 167
Boarding Card FFBBFBFLRR: row 26, col 3, Seat ID 211
Boarding Card BFFBFFFRRL: row 72, col 6, Seat ID 582
Boarding Card FBBFFBFRLR: row 50, col 5, Seat ID 405
Boarding Card FBBFBFBLLR: row 53, col 1, Seat ID 425
Boarding Card BFBFFBBRRL: row 83, col 6, Seat ID 670
Boarding Card FBFFFBFLRR: row 34, col 3, Seat ID 275
Boarding Card FBFBBFBLRL: row 45, col 2, Seat ID 362
Boarding Card BFFFFBFRLL: row 66, col 4, Seat ID 532
Boarding Card BFBFBBBRRR: row 87, col 7, Seat ID 703
Boarding Card FFFBFFFLLR: row 8, col 1, Seat ID 65
Boarding Card FBBBFFFLRR: row 56, col 3, Seat ID 451
Boarding Card FFBFBBFLRL: row 22, col 2, Seat ID 178
Boarding Card BFFFFBBLRL: row 67, col 2, Seat ID 538
Boarding Card BBFFBFFLRR: row 100, col 3, Seat ID 803
Boarding Card FBBFFFFRRR: row 48, col 7, Seat ID 391
Boarding Card FFFBFBBLRL: row 11, col 2, Seat ID 90
Boarding Card BFFFBFFLRR: row 68, col 3, Seat ID 547
Boarding Card BFBBFBFLRL: row 90, col 2, Seat ID 722
Boarding Card FBFFBFBRRL: row 37, col 6, Seat ID 302
Boarding Card BFBFFFFLRL: row 80, col 2, Seat ID 642
Boarding Card FBBFFFBRRR: row 49, col 7, Seat ID 399
Boarding Card FFBBFFBRLL: row 25, col 4, Seat ID 204
Boarding Card FFBFFBFRLL: row 18, col 4, Seat ID 148
Boarding Card BBFBFBBLLR: row 107, col 1, Seat ID 857
Boarding Card BFBFBFFLLR: row 84, col 1, Seat ID 673
Boarding Card BFFFBBBRRL: row 71, col 6, Seat ID 574
Boarding Card BBFBFFFLLR: row 104, col 1, Seat ID 833
Boarding Card FBFBFFFLRL: row 40, col 2, Seat ID 322
Boarding Card BFFBBFFRRR: row 76, col 7, Seat ID 615
Boarding Card BFFBFBBRLR: row 75, col 5, Seat ID 605
Boarding Card BBBFFBFLRL: row 114, col 2, Seat ID 914
Boarding Card BBFBFFBLRR: row 105, col 3, Seat ID 843
Boarding Card BBFBFFFLLL: row 104, col 0, Seat ID 832
Boarding Card FFBBBBFLLL: row 30, col 0, Seat ID 240
Boarding Card BFBBFBBRRR: row 91, col 7, Seat ID 735
Boarding Card BBFFFFBRRL: row 97, col 6, Seat ID 782
Boarding Card FFBFFBBRLL: row 19, col 4, Seat ID 156
Boarding Card FBBFFFBLRR: row 49, col 3, Seat ID 395
Boarding Card FFFFBBBLRL: row 7, col 2, Seat ID 58
Boarding Card FFBFBFFLRL: row 20, col 2, Seat ID 162
Boarding Card FBBBBFBRRR: row 61, col 7, Seat ID 495
Boarding Card BFFBBFBRRR: row 77, col 7, Seat ID 623
Boarding Card BFFFBBBLLR: row 71, col 1, Seat ID 569
Boarding Card BFFBFBFRLR: row 74, col 5, Seat ID 597
Boarding Card BFFBBBFRLL: row 78, col 4, Seat ID 628
Boarding Card FFFFBBBLRR: row 7, col 3, Seat ID 59
Boarding Card BFBFBBBRLR: row 87, col 5, Seat ID 701
Boarding Card BFBFBFFRLL: row 84, col 4, Seat ID 676
Boarding Card FFBBFFFRRL: row 24, col 6, Seat ID 198
Boarding Card FBBFFBFRRL: row 50, col 6, Seat ID 406
Boarding Card BBFFBBFRLL: row 102, col 4, Seat ID 820
Boarding Card FBBFFBBRLR: row 51, col 5, Seat ID 413
Boarding Card BFBBFFFRRR: row 88, col 7, Seat ID 711
Boarding Card BFBBFFBRRL: row 89, col 6, Seat ID 718
Boarding Card FBFFFBBRLL: row 35, col 4, Seat ID 284
Boarding Card FBBBBBBRRL: row 63, col 6, Seat ID 510
Boarding Card FBFFFFBRLR: row 33, col 5, Seat ID 269
Boarding Card BFBBFFBLLR: row 89, col 1, Seat ID 713
Boarding Card BBFBFFBRRL: row 105, col 6, Seat ID 846
Boarding Card BFFBBFFLLR: row 76, col 1, Seat ID 609
Boarding Card BFFFFBBRLL: row 67, col 4, Seat ID 540
Boarding Card BBFFBFBLLL: row 101, col 0, Seat ID 808
Boarding Card FBBFFFFRLR: row 48, col 5, Seat ID 389
Boarding Card FBBFFBFLRR: row 50, col 3, Seat ID 403
Boarding Card BFFBBFFRLL: row 76, col 4, Seat ID 612
Boarding Card BFBBFBBLLL: row 91, col 0, Seat ID 728
Boarding Card FBFBFBFLLR: row 42, col 1, Seat ID 337
Boarding Card BFFFBBBLRR: row 71, col 3, Seat ID 571
Boarding Card BFBFBFBLRL: row 85, col 2, Seat ID 682
Boarding Card BBBFFFFRRR: row 112, col 7, Seat ID 903
Boarding Card FFBFBFBRLL: row 21, col 4, Seat ID 172
Boarding Card FBFFBFFRRR: row 36, col 7, Seat ID 295
Boarding Card FFBFFFBRLL: row 17, col 4, Seat ID 140
Boarding Card FBBFBBFRRR: row 54, col 7, Seat ID 439
Boarding Card FFFBBBFRRR: row 14, col 7, Seat ID 119
Boarding Card FBFFBFFRRL: row 36, col 6, Seat ID 294
Boarding Card FFBBFFBRRL: row 25, col 6, Seat ID 206
Boarding Card FBBBFFFLLR: row 56, col 1, Seat ID 449
Boarding Card BBFBBFBRRL: row 109, col 6, Seat ID 878
Boarding Card BBFBFFFRRL: row 104, col 6, Seat ID 838
Boarding Card FFFBBBBLRL: row 15, col 2, Seat ID 122
Boarding Card FBBBFFFRRL: row 56, col 6, Seat ID 454
Boarding Card BFBBFFBLRL: row 89, col 2, Seat ID 714
Boarding Card FBFFFFFLRR: row 32, col 3, Seat ID 259
Boarding Card FBFFBBFLRL: row 38, col 2, Seat ID 306
Boarding Card BBFFBBBRRL: row 103, col 6, Seat ID 830
Boarding Card BBBFFBBLLL: row 115, col 0, Seat ID 920
Boarding Card FBFFBBBRLL: row 39, col 4, Seat ID 316
Boarding Card BBBFFFFRLL: row 112, col 4, Seat ID 900
Boarding Card FFBBBFFRLR: row 28, col 5, Seat ID 229
Boarding Card BBFFFFBRLL: row 97, col 4, Seat ID 780
Boarding Card FBFFFBBLLR: row 35, col 1, Seat ID 281
Boarding Card BFFBFBFRRR: row 74, col 7, Seat ID 599
Boarding Card FBFFBBBLLL: row 39, col 0, Seat ID 312
Boarding Card FBFBBBFRLL: row 46, col 4, Seat ID 372
Boarding Card BFFFFFBLRR: row 65, col 3, Seat ID 523
Boarding Card BFFBBFFLRL: row 76, col 2, Seat ID 610
Boarding Card FFBBFBBRRR: row 27, col 7, Seat ID 223
Boarding Card FBFFBFFLLR: row 36, col 1, Seat ID 289
Boarding Card BFFBBBBLLR: row 79, col 1, Seat ID 633
Boarding Card BFFFFFFRRR: row 64, col 7, Seat ID 519
Boarding Card BBFBBBFRRR: row 110, col 7, Seat ID 887
Boarding Card BBFFFFBLRR: row 97, col 3, Seat ID 779
Boarding Card BFFBBFBLLL: row 77, col 0, Seat ID 616
Boarding Card FFBBFFBLLL: row 25, col 0, Seat ID 200
Boarding Card BBBFFFFRRL: row 112, col 6, Seat ID 902
Boarding Card FBBFBBFLRR: row 54, col 3, Seat ID 435
Boarding Card FBBFFFBRLR: row 49, col 5, Seat ID 397
Boarding Card FBFBBFFLRL: row 44, col 2, Seat ID 354
Boarding Card FBFBFFFRLL: row 40, col 4, Seat ID 324
Boarding Card FBBFFBBLRL: row 51, col 2, Seat ID 410
Boarding Card BFFBBBBRRR: row 79, col 7, Seat ID 639
Boarding Card FFFFBBFLLR: row 6, col 1, Seat ID 49
Boarding Card BBFFBBBRLR: row 103, col 5, Seat ID 829
Boarding Card BFFFFFFRLL: row 64, col 4, Seat ID 516
Boarding Card FBBBBBBLLR: row 63, col 1, Seat ID 505
Boarding Card BBFFFBBLRR: row 99, col 3, Seat ID 795
Boarding Card BFFFFFBLLL: row 65, col 0, Seat ID 520
Boarding Card FBBBBFFLLR: row 60, col 1, Seat ID 481
Boarding Card BBFBFFFRRR: row 104, col 7, Seat ID 839
Boarding Card FBFBFFBLLL: row 41, col 0, Seat ID 328
Boarding Card FBFFFFBLLL: row 33, col 0, Seat ID 264
Boarding Card FFBFFBFRLR: row 18, col 5, Seat ID 149
Boarding Card BFBFFBBLLL: row 83, col 0, Seat ID 664
Boarding Card BFFBBFFLRR: row 76, col 3, Seat ID 611
Boarding Card FBBBBBFLLL: row 62, col 0, Seat ID 496
Boarding Card FFBBBFBLRR: row 29, col 3, Seat ID 235
Boarding Card BFFFFFBRLR: row 65, col 5, Seat ID 525
Boarding Card BBFBFBBRRL: row 107, col 6, Seat ID 862
Boarding Card BBFFFFBRRR: row 97, col 7, Seat ID 783
Boarding Card FFFBFBFLRL: row 10, col 2, Seat ID 82
Boarding Card FBFBBBBLRR: row 47, col 3, Seat ID 379
Boarding Card BFBFFBBRRR: row 83, col 7, Seat ID 671
Boarding Card FFBFFFFLLL: row 16, col 0, Seat ID 128
Boarding Card BFBFFBFLLR: row 82, col 1, Seat ID 657
Boarding Card FBBFBBBRLR: row 55, col 5, Seat ID 445
Boarding Card FFFBFFFRLL: row 8, col 4, Seat ID 68
Boarding Card FFFBFBFRLR: row 10, col 5, Seat ID 85
Boarding Card FFBBBFFLRL: row 28, col 2, Seat ID 226
Boarding Card BFFBBBBRLR: row 79, col 5, Seat ID 637
Boarding Card FBFFBBFLLL: row 38, col 0, Seat ID 304
Boarding Card FFFBBFFLRR: row 12, col 3, Seat ID 99
Boarding Card BBFBFBFLLR: row 106, col 1, Seat ID 849
Boarding Card FFBBFBFLRL: row 26, col 2, Seat ID 210
Boarding Card BBFFBBBLRL: row 103, col 2, Seat ID 826
Boarding Card BBFFFFBLLR: row 97, col 1, Seat ID 777
Boarding Card FFBFFFBLRR: row 17, col 3, Seat ID 139
Boarding Card BFBBFBFLLR: row 90, col 1, Seat ID 721
Boarding Card BFBBBBBLLL: row 95, col 0, Seat ID 760
Boarding Card BBFBBFBLRL: row 109, col 2, Seat ID 874
Boarding Card BBFBFFFRLR: row 104, col 5, Seat ID 837
Boarding Card BFFBFFFLLL: row 72, col 0, Seat ID 576
Boarding Card BBFBFFBRRR: row 105, col 7, Seat ID 847
Boarding Card FBFBBBFRRR: row 46, col 7, Seat ID 375
Boarding Card FBBBBFFRLL: row 60, col 4, Seat ID 484
Boarding Card BFFBBFBLRL: row 77, col 2, Seat ID 618
Boarding Card BBFBFFBLRL: row 105, col 2, Seat ID 842
Boarding Card BFBBFFBRRR: row 89, col 7, Seat ID 719
Boarding Card BBBFFFFLLL: row 112, col 0, Seat ID 896
Boarding Card BFBFFFFRRL: row 80, col 6, Seat ID 646
Boarding Card FBFFFFFRRR: row 32, col 7, Seat ID 263
Boarding Card BFFFFBBLLL: row 67, col 0, Seat ID 536
Boarding Card BFBBFFBRLL: row 89, col 4, Seat ID 716
Boarding Card FFBBBBBRLL: row 31, col 4, Seat ID 252
Boarding Card BFFBFBBRRR: row 75, col 7, Seat ID 607
Boarding Card BFBBFFFLLR: row 88, col 1, Seat ID 705
Boarding Card BFBBFBBLLR: row 91, col 1, Seat ID 729
Boarding Card FBBBBFBRRL: row 61, col 6, Seat ID 494
Boarding Card FBFBFBFLRL: row 42, col 2, Seat ID 338
Boarding Card BFBBBBFRLL: row 94, col 4, Seat ID 756
Boarding Card FFFBFFBLLL: row 9, col 0, Seat ID 72
Boarding Card BFFBFFFLLR: row 72, col 1, Seat ID 577
Boarding Card BFBBBFBRLL: row 93, col 4, Seat ID 748
Boarding Card FFFBBFBRRL: row 13, col 6, Seat ID 110
Boarding Card FFBFBFBRRR: row 21, col 7, Seat ID 175
Boarding Card FFFBFBBLLR: row 11, col 1, Seat ID 89
Boarding Card BFBBBFBRRR: row 93, col 7, Seat ID 751
Boarding Card FBBFBBFRLL: row 54, col 4, Seat ID 436
Boarding Card BFBBFBBRRL: row 91, col 6, Seat ID 734
Boarding Card BFBBBBFRLR: row 94, col 5, Seat ID 757
Boarding Card FFFBBBBLLL: row 15, col 0, Seat ID 120
Boarding Card BBFFFBBLLL: row 99, col 0, Seat ID 792
Boarding Card FFBBBBFLRL: row 30, col 2, Seat ID 242
Boarding Card BFBBBBBRLL: row 95, col 4, Seat ID 764
Boarding Card FBBFFBFRLL: row 50, col 4, Seat ID 404
Boarding Card FBFFFBBLRL: row 35, col 2, Seat ID 282
Boarding Card FBBFBFFRRR: row 52, col 7, Seat ID 423
Boarding Card FFFBFBFLLR: row 10, col 1, Seat ID 81
Boarding Card FFBBBFFRRL: row 28, col 6, Seat ID 230
Boarding Card FBBBFBBRLR: row 59, col 5, Seat ID 477
Boarding Card BBFBFFFLRR: row 104, col 3, Seat ID 835
Boarding Card FBFBBFFLLL: row 44, col 0, Seat ID 352
Boarding Card BBFFBFFRLR: row 100, col 5, Seat ID 805
Boarding Card BBFBFFFLRL: row 104, col 2, Seat ID 834
Boarding Card FBBBBFFRRR: row 60, col 7, Seat ID 487
Boarding Card FFBBBFBLLR: row 29, col 1, Seat ID 233
Boarding Card BBBFFFBRRL: row 113, col 6, Seat ID 910
Boarding Card FBFBFFFLLR: row 40, col 1, Seat ID 321
Boarding Card BBFBFFBLLL: row 105, col 0, Seat ID 840
Boarding Card FFFBBFBRLR: row 13, col 5, Seat ID 109
Boarding Card FBFFFBFLRL: row 34, col 2, Seat ID 274
Boarding Card BFFBFBBLLL: row 75, col 0, Seat ID 600
Boarding Card BBFBFBBRLL: row 107, col 4, Seat ID 860
Boarding Card FBFFBBFRRL: row 38, col 6, Seat ID 310
Boarding Card BFBFFFFRLL: row 80, col 4, Seat ID 644
Boarding Card BBBFFBBLRL: row 115, col 2, Seat ID 922
Boarding Card FFFBFFBLLR: row 9, col 1, Seat ID 73
Boarding Card BFFBFBBRLL: row 75, col 4, Seat ID 604
Boarding Card FFBFBFBLRR: row 21, col 3, Seat ID 171
Boarding Card BBFBFBFRRL: row 106, col 6, Seat ID 854
Boarding Card FBBBFBFRRL: row 58, col 6, Seat ID 470
Boarding Card FFFBBBBLLR: row 15, col 1, Seat ID 121
Boarding Card FBBBFBBRLL: row 59, col 4, Seat ID 476
Boarding Card BFBFBBFLRR: row 86, col 3, Seat ID 691
Boarding Card BFFFFFFLLL: row 64, col 0, Seat ID 512
Boarding Card FFFBFFFRLR: row 8, col 5, Seat ID 69
Boarding Card BFBBBFFRLR: row 92, col 5, Seat ID 741
Boarding Card BFFFFFBRLL: row 65, col 4, Seat ID 524
Boarding Card FBFFFFFLLR: row 32, col 1, Seat ID 257
Boarding Card FBBBFFBRLL: row 57, col 4, Seat ID 460
Boarding Card FBBFFBFLLR: row 50, col 1, Seat ID 401
Boarding Card BFFBFFBLRR: row 73, col 3, Seat ID 587
Boarding Card FBFBBBFLLL: row 46, col 0, Seat ID 368
Boarding Card FBFFFFFRRL: row 32, col 6, Seat ID 262
Boarding Card BBFFFFBLRL: row 97, col 2, Seat ID 778
Boarding Card BFBFFFFRLR: row 80, col 5, Seat ID 645
Boarding Card FBBFFFFRRL: row 48, col 6, Seat ID 390
Boarding Card BFFBBBBLLL: row 79, col 0, Seat ID 632
Boarding Card FFFFBBBRRR: row 7, col 7, Seat ID 63
Boarding Card FFBBFBBLRR: row 27, col 3, Seat ID 219
Boarding Card FBBFFBFLLL: row 50, col 0, Seat ID 400
Boarding Card BFFFFBBRRL: row 67, col 6, Seat ID 542
Boarding Card FFBBBBFRRL: row 30, col 6, Seat ID 246
Boarding Card BFFFFBFLRR: row 66, col 3, Seat ID 531
Boarding Card BFFFBBFRRL: row 70, col 6, Seat ID 566
Boarding Card BFBBBFFRRL: row 92, col 6, Seat ID 742
Boarding Card BFFFBFFRRR: row 68, col 7, Seat ID 551
Boarding Card FBFBBBBRRR: row 47, col 7, Seat ID 383
Boarding Card FBFFBFFLRL: row 36, col 2, Seat ID 290
Boarding Card FBBBBBFLLR: row 62, col 1, Seat ID 497
Boarding Card BFBFBBFLLR: row 86, col 1, Seat ID 689
Boarding Card BBBFFBFRRR: row 114, col 7, Seat ID 919
Boarding Card BFBBFFBLRR: row 89, col 3, Seat ID 715
Boarding Card FBBFBFFRRL: row 52, col 6, Seat ID 422
Boarding Card BBFBBFBLLL: row 109, col 0, Seat ID 872
Boarding Card BFBBFFBLLL: row 89, col 0, Seat ID 712
Boarding Card FFBBBFBRRL: row 29, col 6, Seat ID 238
Boarding Card BFBFBFBLLL: row 85, col 0, Seat ID 680
Boarding Card BFFBFBFRLL: row 74, col 4, Seat ID 596
Boarding Card BBFFBBBLLR: row 103, col 1, Seat ID 825
Boarding Card FFFBFBFLLL: row 10, col 0, Seat ID 80
Boarding Card FFBBBBFLLR: row 30, col 1, Seat ID 241
Boarding Card FFFBFBFRRL: row 10, col 6, Seat ID 86
Boarding Card BFBFFFBRRR: row 81, col 7, Seat ID 655
Boarding Card FFBFBBFRLL: row 22, col 4, Seat ID 180
Boarding Card FFFBBBFLLR: row 14, col 1, Seat ID 113
Boarding Card FBBFBFBLLL: row 53, col 0, Seat ID 424
Boarding Card BBFFFFFRRR: row 96, col 7, Seat ID 775
Boarding Card FFFBFFFRRR: row 8, col 7, Seat ID 71
Boarding Card BFFFBBBRRR: row 71, col 7, Seat ID 575
Boarding Card FFBFFFFLRL: row 16, col 2, Seat ID 130
Boarding Card FFFBFFBLRR: row 9, col 3, Seat ID 75
Boarding Card FFBBFBFRLR: row 26, col 5, Seat ID 213
Boarding Card FBBFBBBLRR: row 55, col 3, Seat ID 443
Boarding Card BFFBBFBRLL: row 77, col 4, Seat ID 620
Boarding Card BBFFFBBRRR: row 99, col 7, Seat ID 799
Boarding Card FFFFBBFRLR: row 6, col 5, Seat ID 53
Boarding Card FBBFBFBRRL: row 53, col 6, Seat ID 430
Boarding Card FBFBFFBLLR: row 41, col 1, Seat ID 329
Boarding Card FBFBFBBLLR: row 43, col 1, Seat ID 345
Boarding Card BFBFBBFRRR: row 86, col 7, Seat ID 695
Boarding Card BBFFBFBLLR: row 101, col 1, Seat ID 809
Boarding Card FFBBBFFLLL: row 28, col 0, Seat ID 224
Boarding Card BBFFBFBRLL: row 101, col 4, Seat ID 812
Boarding Card BFFFBBFLRL: row 70, col 2, Seat ID 562
Boarding Card BFBFBFFRLR: row 84, col 5, Seat ID 677
Boarding Card BFBFFFFLLL: row 80, col 0, Seat ID 640
Boarding Card FFBBBFFRRR: row 28, col 7, Seat ID 231
Boarding Card BBFBFFBLLR: row 105, col 1, Seat ID 841
Boarding Card BFBBBBFLRR: row 94, col 3, Seat ID 755
Boarding Card BFFBFBBLRL: row 75, col 2, Seat ID 602
Boarding Card FFBBFFFRLL: row 24, col 4, Seat ID 196
Boarding Card FFBFFFFLLR: row 16, col 1, Seat ID 129
Boarding Card BFBFFFBRRL: row 81, col 6, Seat ID 654
Boarding Card BFBFBFFLRL: row 84, col 2, Seat ID 674
Boarding Card BFFFFFFLRR: row 64, col 3, Seat ID 515
Boarding Card BBFBBFFLRL: row 108, col 2, Seat ID 866
Boarding Card FBFFFFBRLL: row 33, col 4, Seat ID 268
Boarding Card BBFFBFBRLR: row 101, col 5, Seat ID 813
Boarding Card FBBBFFFLLL: row 56, col 0, Seat ID 448
Boarding Card FFFBBBFLLL: row 14, col 0, Seat ID 112
Boarding Card BFFBFFFRRR: row 72, col 7, Seat ID 583
Boarding Card BBFBBBBLLL: row 111, col 0, Seat ID 888
Boarding Card BBFFFBFRLR: row 98, col 5, Seat ID 789
